Found 71246 part OBJs to process, 10238 metadata copied
Output: /mnt/data_ssd/infinigen-sim-data/precompute_solidified
Workers: 96
Thickness: 0.02
  [59500/71246] 27.1/s | copied=11048 solidified=48450 suspicious=2 failed=0 | ETA=7min
  [60000/71246] 27.3/s | copied=11363 solidified=48635 suspicious=2 failed=0 | ETA=7min
  [60500/71246] 27.4/s | copied=11719 solidified=48779 suspicious=2 failed=0 | ETA=7min
  [61000/71246] 27.6/s | copied=12111 solidified=48887 suspicious=2 failed=0 | ETA=6min
  [61500/71246] 27.8/s | copied=12420 solidified=49078 suspicious=2 failed=0 | ETA=6min
  [62000/71246] 28.0/s | copied=12800 solidified=49198 suspicious=2 failed=0 | ETA=6min
  [62500/71246] 28.2/s | copied=13233 solidified=49265 suspicious=2 failed=0 | ETA=5min
  [63000/71246] 28.3/s | copied=13655 solidified=49343 suspicious=2 failed=0 | ETA=5min
  [63500/71246] 28.5/s | copied=14008 solidified=49490 suspicious=2 failed=0 | ETA=5min
  [64000/71246] 28.7/s | copied=14370 solidified=49628 suspicious=2 failed=0 | ETA=4min
  [64500/71246] 28.9/s | copied=14835 solidified=49663 suspicious=2 failed=0 | ETA=4min
  [65000/71246] 29.1/s | copied=15286 solidified=49712 suspicious=2 failed=0 | ETA=4min
  [65500/71246] 29.3/s | copied=15750 solidified=49748 suspicious=2 failed=0 | ETA=3min
  [66000/71246] 29.5/s | copied=16225 solidified=49773 suspicious=2 failed=0 | ETA=3min
  [66500/71246] 29.7/s | copied=16713 solidified=49785 suspicious=2 failed=0 | ETA=3min
  [67000/71246] 30.0/s | copied=17192 solidified=49806 suspicious=2 failed=0 | ETA=2min
  [67500/71246] 30.2/s | copied=17680 solidified=49818 suspicious=2 failed=0 | ETA=2min
  [68000/71246] 30.4/s | copied=18097 solidified=49901 suspicious=2 failed=0 | ETA=2min
  [68500/71246] 30.5/s | copied=18464 solidified=50034 suspicious=2 failed=0 | ETA=2min
  [69000/71246] 30.6/s | copied=18850 solidified=50148 suspicious=2 failed=0 | ETA=1min
  [69500/71246] 30.9/s | copied=19252 solidified=50241 suspicious=7 failed=0 | ETA=1min
  [70000/71246] 31.1/s | copied=19709 solidified=50284 suspicious=7 failed=0 | ETA=1min
  [70500/71246] 31.3/s | copied=20187 solidified=50306 suspicious=7 failed=0 | ETA=0min
  [71000/71246] 31.5/s | copied=20564 solidified=50428 suspicious=8 failed=0 | ETA=0min

Done in 37.7min | 31.5/s
Results: {'copied': 20648, 'solidified': 50587, 'solidify_failed': 0, 'suspicious': 11, 'exists': 0}
Output: /mnt/data_ssd/infinigen-sim-data/precompute_solidified
Logs: logs/solidify_*.txt
