[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[ATTENTION] Using backend: flash_attn
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: auroraryan0301 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run x4cigrky
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /mnt/cpfs/yurh/Infinigen-Sim/wandb/run-20260330_174124-x4cigrky
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run prog_dino4f_warmproj_2anim
wandb: ⭐️ View project at https://wandb.ai/auroraryan0301/infinipart
wandb: 🚀 View run at https://wandb.ai/auroraryan0301/infinipart/runs/x4cigrky
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
DualPartSLatModel (512, cross_attn from block 999): 1604M total, 311M trainable
  basic_2: p0=7421, p1=310, cond=torch.Size([1, 5480, 1536])
  basic_5: p0=7117, p1=554, cond=torch.Size([1, 5480, 1536])

Phase 1: Projector warmup (1000 steps, cross-attn frozen)

  [5650/8000] loss=0.075196 b2=0.0563 b5=0.0961 blk=15 | 0.84 it/s
  [5700/8000] loss=0.054322 b2=0.0599 b5=0.0836 blk=15 | 0.84 it/s
  [5750/8000] loss=0.123828 b2=0.1741 b5=0.0744 blk=15 | 0.84 it/s
  [5800/8000] loss=0.074194 b2=0.0783 b5=0.0734 blk=15 | 0.85 it/s
  [5850/8000] loss=0.117701 b2=0.1469 b5=0.1331 blk=15 | 0.85 it/s
  [5900/8000] loss=0.123963 b2=0.0796 b5=0.1694 blk=15 | 0.85 it/s
  [5950/8000] loss=0.104188 b2=0.0899 b5=0.1206 blk=15 | 0.85 it/s
  [6000/8000] loss=0.041783 b2=0.0177 b5=0.0672 blk=15 | 0.85 it/s
  [6050/8000] loss=0.129238 b2=0.2140 b5=0.0403 blk=15 | 0.85 it/s
  [6100/8000] loss=0.165472 b2=0.0832 b5=0.2473 blk=15 | 0.85 it/s
  [6150/8000] loss=0.099263 b2=0.1049 b5=0.0834 blk=15 | 0.85 it/s
  [6200/8000] loss=0.074647 b2=0.0824 b5=0.0720 blk=15 | 0.86 it/s
  [6250/8000] loss=0.047223 b2=0.0350 b5=0.0595 blk=15 | 0.86 it/s
  [6300/8000] loss=0.064387 b2=0.0446 b5=0.0843 blk=15 | 0.86 it/s
  [6350/8000] loss=0.080977 b2=0.0701 b5=0.0909 blk=15 | 0.86 it/s
  [6400/8000] loss=0.086558 b2=0.0882 b5=0.0968 blk=15 | 0.86 it/s
  [6450/8000] loss=0.071472 b2=0.1304 b5=0.0147 blk=15 | 0.86 it/s
  [6500/8000] loss=0.134364 b2=0.0863 b5=0.1715 blk=15 | 0.86 it/s
  [6550/8000] loss=0.088365 b2=0.1264 b5=0.0683 blk=15 | 0.86 it/s
  [6600/8000] loss=0.105996 b2=0.0629 b5=0.1080 blk=15 | 0.86 it/s
  [6650/8000] loss=0.098792 b2=0.1583 b5=0.0828 blk=15 | 0.87 it/s
  [6700/8000] loss=0.069142 b2=0.0990 b5=0.0393 blk=15 | 0.87 it/s
  [6750/8000] loss=0.062289 b2=0.0691 b5=0.0555 blk=15 | 0.87 it/s
  [6800/8000] loss=0.071974 b2=0.0722 b5=0.0730 blk=15 | 0.87 it/s
  [6850/8000] loss=0.091032 b2=0.0651 b5=0.1169 blk=15 | 0.87 it/s
  [6900/8000] loss=0.054090 b2=0.0237 b5=0.0900 blk=15 | 0.87 it/s
  [6950/8000] loss=0.086611 b2=0.0309 b5=0.1423 blk=15 | 0.87 it/s
  [7000/8000] loss=0.069094 b2=0.0729 b5=0.0654 blk=15 | 0.87 it/s
  [7050/8000] loss=0.091601 b2=0.0874 b5=0.0833 blk=15 | 0.87 it/s
  [7100/8000] loss=0.046183 b2=0.0198 b5=0.0848 blk=15 | 0.87 it/s
  [7150/8000] loss=0.079187 b2=0.0499 b5=0.0657 blk=15 | 0.87 it/s
  [7200/8000] loss=0.070050 b2=0.0869 b5=0.0692 blk=15 | 0.88 it/s
  [7250/8000] loss=0.057430 b2=0.0720 b5=0.0419 blk=15 | 0.88 it/s
  [7300/8000] loss=0.069443 b2=0.0501 b5=0.0610 blk=15 | 0.88 it/s
  [7350/8000] loss=0.076507 b2=0.0628 b5=0.0792 blk=15 | 0.88 it/s
  [7400/8000] loss=0.050867 b2=0.0641 b5=0.0390 blk=15 | 0.88 it/s
  [7450/8000] loss=0.041071 b2=0.0154 b5=0.0596 blk=15 | 0.88 it/s
  [7500/8000] loss=0.087304 b2=0.0663 b5=0.1055 blk=15 | 0.88 it/s
  [7550/8000] loss=0.070895 b2=0.0420 b5=0.0624 blk=15 | 0.88 it/s
  [7600/8000] loss=0.040637 b2=0.0320 b5=0.0823 blk=15 | 0.88 it/s
  [7650/8000] loss=0.057952 b2=0.0363 b5=0.0798 blk=15 | 0.88 it/s
  [7700/8000] loss=0.092039 b2=0.0396 b5=0.1561 blk=15 | 0.88 it/s
  [7750/8000] loss=0.109514 b2=0.0315 b5=0.1576 blk=15 | 0.89 it/s
  [7800/8000] loss=0.051043 b2=0.0424 b5=0.0600 blk=15 | 0.89 it/s
  [7850/8000] loss=0.053805 b2=0.0728 b5=0.0370 blk=15 | 0.89 it/s
  [7900/8000] loss=0.050170 b2=0.0631 b5=0.0384 blk=15 | 0.89 it/s
  [7950/8000] loss=0.058460 b2=0.0543 b5=0.0754 blk=15 | 0.89 it/s
  [8000/8000] loss=0.091174 b2=0.0617 b5=0.1205 blk=15 | 0.89 it/s

Done in 150.0m
wandb: updating run metadata
wandb: uploading output.log; uploading wandb-summary.json
wandb: uploading history steps 7999-7999, summary, console lines 170-171
wandb: 
wandb: Run history:
wandb:             avg50_loss █▅▅▅▅▄▄▅▄▄▃▃▃▄▄▄▃▄▁▂▂▂▃▂▁▃▂▂▂▂▃▁▃▂▁▂▁▁▁▂
wandb:            avg_basic_2 ██▆▆▇█▆▆▅▄▄▅▃▂▄▃▃▃▃▄▄▃▃▃▂▄▇▂▁▅▂▂▃▂▃▂▂▁▁▁
wandb:            avg_basic_5 ▆▆▇▇▇█▇▇▇▆▄▄▃▃▃▄▁▂▂▅▄▁▄▄▂▂▁▂▄▂▆▂▂▂▂▃▂▂▄▁
wandb: cross_attn_start_block █▇▇▇▆▅▅▅▄▃▃▃▂▁▁
wandb:                   loss ▂▂▂▂▃▃▃▂▂▁▂▁▃▆▁▁▁▁▂▁▁▁▁▁▄▁█▁▁▁▁▁▅▁▁▁▁▁▁▁
wandb:           loss_basic_2 ▃▂▂▂▃▃█▂▂▃▂▂▂█▁▄▁▁▂▂▂▁▁▂▁▁▁▁▁▁▂▁▁▁▅▁▁▁▁▁
wandb:           loss_basic_5 ▃█▄▇▃▅▄▂▂▃▅▂▂▁▁▅▁▃▂▅▁▁▂▃▁▅▁▁▁▂▁▃▁▁▂▁▁▁▁▃
wandb:                  phase ▁▁▁▁████████████████████████████████████
wandb: 
wandb: Run summary:
wandb:             avg50_loss 0.09117
wandb:            avg_basic_2 0.06174
wandb:            avg_basic_5 0.12053
wandb: cross_attn_start_block 15
wandb:                   loss 0.00745
wandb:           loss_basic_2 0.00745
wandb:           loss_basic_5 0.01603
wandb:                  phase 2
wandb: 
wandb: 🚀 View run prog_dino4f_warmproj_2anim at: https://wandb.ai/auroraryan0301/infinipart/runs/x4cigrky
wandb: ⭐️ View project at: https://wandb.ai/auroraryan0301/infinipart
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260330_174124-x4cigrky/logs
