Training:   1%|          | 92/10000 [13:38<24:28:19,  8.89s/it, loss=0.4842, lr=2.53e-05, n=13082]
Training:   1%|          | 92/10000 [13:47<24:28:19,  8.89s/it, loss=0.4298, lr=2.53e-05, n=13082]
Training:   1%|          | 93/10000 [13:47<24:28:12,  8.89s/it, loss=0.4298, lr=2.53e-05, n=13082]
Training:   1%|          | 93/10000 [13:56<24:28:12,  8.89s/it, loss=0.5679, lr=2.53e-05, n=13082]
Training:   1%|          | 94/10000 [13:56<24:27:32,  8.89s/it, loss=0.5679, lr=2.53e-05, n=13082]
Training:   1%|          | 94/10000 [14:05<24:27:32,  8.89s/it, loss=0.5583, lr=2.53e-05, n=13082]
Training:   1%|          | 95/10000 [14:05<24:27:18,  8.89s/it, loss=0.5583, lr=2.53e-05, n=13082]
Training:   1%|          | 95/10000 [14:14<24:27:18,  8.89s/it, loss=0.4625, lr=2.53e-05, n=13082]
Training:   1%|          | 96/10000 [14:14<24:26:59,  8.89s/it, loss=0.4625, lr=2.53e-05, n=13082]
Training:   1%|          | 96/10000 [14:23<24:26:59,  8.89s/it, loss=0.4792, lr=2.53e-05, n=13082]
Training:   1%|          | 97/10000 [14:23<24:26:35,  8.89s/it, loss=0.4792, lr=2.53e-05, n=13082]
Training:   1%|          | 97/10000 [14:32<24:26:35,  8.89s/it, loss=0.3905, lr=2.53e-05, n=13082]
Training:   1%|          | 98/10000 [14:32<24:25:49,  8.88s/it, loss=0.3905, lr=2.53e-05, n=13082]
Training:   1%|          | 98/10000 [14:41<24:25:49,  8.88s/it, loss=0.3359, lr=2.53e-05, n=13082]
Training:   1%|          | 99/10000 [14:41<24:25:57,  8.88s/it, loss=0.3359, lr=2.53e-05, n=13082]
Training:   1%|          | 99/10000 [14:50<24:25:57,  8.88s/it, loss=0.5027, lr=2.53e-05, n=13082]  Step 20100/30000 | avg100: 0.498167 | lr: 2.53e-05 | n_train=13082

Training:   1%|          | 100/10000 [14:50<24:26:54,  8.89s/it, loss=0.5027, lr=2.53e-05, n=13082]
Training:   1%|          | 100/10000 [14:59<24:26:54,  8.89s/it, loss=0.4476, lr=2.53e-05, n=13082]
Training:   1%|          | 101/10000 [14:59<24:29:06,  8.90s/it, loss=0.4476, lr=2.53e-05, n=13082]
Training:   1%|          | 101/10000 [15:07<24:29:06,  8.90s/it, loss=0.4931, lr=2.53e-05, n=13082]
Training:   1%|          | 102/10000 [15:07<24:27:55,  8.90s/it, loss=0.4931, lr=2.53e-05, n=13082]
Training:   1%|          | 102/10000 [15:16<24:27:55,  8.90s/it, loss=0.5029, lr=2.53e-05, n=13082]
Training:   1%|          | 103/10000 [15:16<24:30:39,  8.92s/it, loss=0.5029, lr=2.53e-05, n=13082]
Training:   1%|          | 103/10000 [15:25<24:30:39,  8.92s/it, loss=0.5502, lr=2.53e-05, n=13082]
